architecture,run,task_num,difficulty,run_number,temperature,retry_count
Hierarchical,.ipynb_checkpoints,283.1333333333333,2.466666666666667,1.0,0.2,2.033333333333333
Hierarchical,30tasks_sonnet4_run1,283.1333333333333,2.466666666666667,1.0,0.2,1.9333333333333333
Hierarchical,30tasks_sonnet4_run2,283.1333333333333,2.466666666666667,1.0,0.2,2.1333333333333333
Hierarchical,30tasks_sonnet4_run3,283.1333333333333,2.466666666666667,1.0,0.2,2.1333333333333333
Sequential,.ipynb_checkpoints,283.1333333333333,2.466666666666667,1.0,0.2,1.2333333333333334
Sequential,30tasks_sonnet4_run1,283.1333333333333,2.466666666666667,1.0,0.2,1.0333333333333334
Sequential,30tasks_sonnet4_run2,283.1333333333333,2.466666666666667,1.0,0.2,1.2333333333333334
Sequential,30tasks_sonnet4_run3,283.1333333333333,2.466666666666667,1.0,0.2,0.8333333333333334
Single Agent,.ipynb_checkpoints,283.1333333333333,2.466666666666667,1.0,0.2,1.6
Single Agent,30tasks_sonnet4_run1,283.1333333333333,2.466666666666667,1.0,0.2,1.5
Single Agent,30tasks_sonnet4_run2,283.1333333333333,2.466666666666667,1.0,0.2,1.6
Single Agent,30tasks_sonnet4_run3,283.1333333333333,2.466666666666667,1.0,0.2,1.4333333333333333
